Plant.Code,huc_12,YEAR,Plant.Name,County,State,Name.of.Water.Source,coolingType,ModelType,Plant.level_dom_fuel,general_mover,Net.Generation.Year.To.Date,cu_mgd,cu_lower_mgd,cu_upper_mgd,wd_mgd,wd_lower_mgd,wd_upper_mgd
3775,060102050403,2008,Clinch River,Russell,VA,Clinch River,Recirculating Tower,tower,coal,ST,3636933,4.1369981686612,3.39233849830218,4.88165783902021,5.79179743612567,3.81638081058995,9.76331567804042
3776,050500020602,2008,Glen Lyn,Giles,VA,New River,Once-through fresh,river,coal,ST,1403049,1.17900153135357,0.919621194455787,1.43838186825136,124.070555581984,56.3629656227778,932.277505322073
3788,020700100301,2008,Potomac River,Alexandria,VA,Potomac River,Once-through fresh,river,coal,ST,820028,0.617709443204757,0.48181336569971,0.753605520709803,75.7903947528519,34.347346331449,574.303625259253
3796,020802031502,2008,Bremo Bluff,Fluvanna,VA,James River,Once-through fresh,river,coal,ST,1197670,0.899937854936105,0.701951526850162,1.09792418302205,105.277910351939,47.7452543060768,795.694221588898
3797,020802060106,2008,Chesterfield,Chesterfield,VA,James River,Once-through fresh,river,multi-fuel,multiple,17651754,5.1094000655106,3.98533205109826,6.23346807992292,635.670539361825,287.996922414758,4821.5050376795
3803,020802080203,2008,Chesapeake,Chesapeake,VA,S Branch Elizabeth River,Once-through saline,OS,coal,ST,3409454,0,0,0,279.98709294443,127.024354697946,2113.44806760403
3804,020700110106,2008,Possum Point,Prince William,VA,Potomac River,Complex,complex,multi-fuel,complex,4879065,1.77635048713095,1.45660739944738,2.09609357481453,22.9770280316496,10.9422909960383,158.404559579985
3806,020802060704,2008,Surry,Surry,VA,James River,Once-through saline,OS,nuclear,ST,13497339,0,0,0,1382.07800154955,626.197382726077,10481.1510191387
3809,020801070204,2008,Yorktown,York,VA,York River,Once-through saline,OS,coal,ST,2218288,0,0,0,182.727313006184,82.9161089109824,1378.33859725181
6168,020801060602,2008,North Anna,Louisa,VA,North Anna River,Once-through fresh,lake,nuclear,ST,14433425,29.2123726419889,22.7856506607513,35.6390946232265,1553.81472088268,707.415441593292,11586.9935052695
7213,030101020601,2008,Clover,Halifax,VA,Roanoke River,Recirculating Tower,tower,coal,ST,5809328,6.71257785771224,5.50431384332404,7.92084187210045,9.39760900079714,6.19235307373954,15.8416837442009
10071,020802080206,2008,Cogentrix Virginia Leasing Corporation,Portsmouth City,VA,Wells,Recirculating Tower,tower,coal,ST,762352,1.00962649689466,0.82789372745362,1.1913592663357,1.41347709565252,0.931380443385323,2.3827185326714
10377,020802060201,2008,James River Cogeneration,City of Hopewell,VA,Municipality,Recirculating Tower,tower,coal,ST,567904,0.43288055124901,0.354962052024188,0.510799050473832,0.606032771748614,0.399332308527212,1.02159810094766
10633,020802060201,2008,Hopewell Cogeneration,Prince George,VA,Municipality,Recirculating Tower,tower,gas,NGCC,747748,0.574479333508745,0.471073053477171,0.677885613540319,0.804271066912243,0.529957185161817,1.35577122708064
10771,020802060201,2008,Hopewell Power Station,Hopewell City,VA,municipality,Recirculating Tower,tower,coal,ST,254077,0.453576373724959,0.371932626454466,0.535220120995451,0.635006923214942,0.418424204761274,1.0704402419909
10773,030101011305,2008,Altavista Power Station,Campbell,VA,Staunton River,Recirculating Tower,tower,coal,ST,185557,0.292782504837712,0.240081653966924,0.345483355708501,0.409895506772797,0.27009186071279,0.690966711417001
10774,030102011206,2008,Southampton Power Station,Southampton,VA,Wells,Recirculating Tower,tower,coal,ST,273016,0.56559957211506,0.463791649134349,0.66740749509577,0.791839400961083,0.521765605276142,1.33481499019154
50658,020700100803,2008,Covanta Fairfax Energy,Fairfax,VA,Municipality,Recirculating Tower,tower,biomass,ST,588723,1.42631988784391,1.16958230803201,1.68305746765582,1.99684784298148,1.31578009653601,3.36611493531163
50966,020802060101,2008,Bellmeade Power Station,Richmond,VA,Cooling Tower,Recirculating Tower,tower,gas,NGCC,413109,0.395708176909745,0.324480705065991,0.4669356487535,0.553991447673644,0.36504079319924,0.933871297506999
52007,030101020903,2008,Mecklenburg Power Station,Mecklenburg,VA,John H Kerr Reservoir,Recirculating Tower,tower,coal,ST,527395,0.810373217795989,0.664506038592711,0.956240396999267,1.13452250491438,0.7475692934168,1.91248079399853
52118,030101011305,2008,Multitrade of Pittsylvania LP,Pittsylvania,VA,Roanoke River,Recirculating Tower,tower,biomass,ST,488227,0.904049778257271,0.741320818170962,1.06677873834358,1.26566968956018,0.833985920442332,2.13355747668716
54081,020802060101,2008,Spruance Genco LLC,City of Richmond,VA,James River,Recirculating Tower,tower,coal,ST,1377212,1.08861208827844,0.892661912388323,1.28456226416856,1.52405692358982,1.00424465143686,2.56912452833712
54304,020801040201,2008,Birchwood Power,King George,VA,Rappahannock River,Recirculating Tower,tower,coal,ST,1563434,1.6887261030947,1.38475540453765,1.99269680165174,2.36421654433258,1.55784983010486,3.98539360330349
54998,020802080203,2008,SPSA Waste To Energy Power Plant,Portsmouth City,VA,City Of Portsmouth,Recirculating Tower,tower,biomass,ST,185399,0.0660753708049196,0.0541818040600341,0.0779689375498051,0.0925055191268874,0.0609545295675383,0.15593787509961
55439,020802040502,2008,Tenaska Virginia Generating Station,Fluvanna,VA,James River,Recirculating Tower,tower,gas,NGCC,1494569,0.859665055183627,0.704925345250574,1.01440476511668,1.20353107725708,0.793041013406895,2.02880953023336
3775,060102050403,2009,Clinch River,Russell,VA,Clinch River,Recirculating Tower,tower,coal,ST,1525809,1.91410880650791,1.56956922133648,2.25864839167933,2.67975232911107,1.76576537400354,4.51729678335866
3776,050500020602,2009,Glen Lyn,Giles,VA,New River,Once-through fresh,river,coal,ST,462736,0.522667322244877,0.407680511351004,0.637654133138751,55.9281855932536,25.4065233946934,420.333711065318
3788,020700100301,2009,Potomac River,Alexandria,VA,Potomac River,Once-through fresh,river,coal,ST,625109,0.555250315539202,0.433095246120578,0.677405384957827,68.7700249119102,31.1602971464208,521.434557490573
3796,020802031502,2009,Bremo Bluff,Fluvanna,VA,James River,Once-through fresh,river,coal,ST,921622,0.691942410697125,0.539715080343758,0.844169741050493,79.7248064949284,36.173035513708,601.638928257061
3797,020802060106,2009,Chesterfield,Chesterfield,VA,James River,Once-through fresh,river,multi-fuel,multiple,21318102,5.9309131698544,4.62611227248643,7.23571406722237,733.051706915356,332.152221718974,5558.03138468692
3803,020802080203,2009,Chesapeake,Chesapeake,VA,S Branch Elizabeth River,Once-through saline,OS,coal,ST,3304207,0,0,0,270.59074285293,122.814095860079,2039.52028251433
3804,020700110106,2009,Possum Point,Prince William,VA,Potomac River,Complex,complex,multi-fuel,complex,6658589,1.76114715604268,1.444140667955,2.07815364413037,16.2441756837981,7.89424051831312,107.083035357174
3806,020802060704,2009,Surry,Surry,VA,James River,Once-through saline,OS,nuclear,ST,13009642,0,0,0,1354.65067480293,614.603792991031,10224.7557079756
3809,020801070204,2009,Yorktown,York,VA,York River,Once-through saline,OS,coal,ST,1930439,0,0,0,162.141820372676,73.6199509704189,1220.52950102129
6168,020801060602,2009,North Anna,Louisa,VA,North Anna River,Once-through fresh,lake,nuclear,ST,15202610,30.8714921778208,24.0797638987003,37.6632204569414,1610.81808996678,731.994104916437,12089.4851400108
7213,030101020601,2009,Clover,Halifax,VA,Roanoke River,Recirculating Tower,tower,coal,ST,5587711,6.45769992662133,5.29531393982949,7.62008591341317,9.04077989726986,5.95722818230818,15.2401718268263
10071,020802080206,2009,Cogentrix Virginia Leasing Corporation,Portsmouth City,VA,Wells,Recirculating Tower,tower,coal,ST,153723,0.18350927248593,0.150477603438463,0.216540941533398,0.256912981480303,0.169287303868271,0.433081883066796
10377,020802060201,2009,James River Cogeneration,City of Hopewell,VA,Municipal,Recirculating Tower,tower,coal,ST,165847,0.0675664747893812,0.0554045093272925,0.0797284402514698,0.0945930647051336,0.0623300729932041,0.15945688050294
10633,020802060201,2009,Hopewell Cogeneration,Prince George,VA,Municipality,Recirculating Tower,tower,gas,NGCC,813852,0.547334816706226,0.448814549699105,0.645855083713346,0.766268743388716,0.504916368411493,1.29171016742669
10771,020802060201,2009,Hopewell Power Station,Hopewell City,VA,municipality,Recirculating Tower,tower,coal,ST,103516,0.161443823061409,0.132383934910355,0.190503711212462,0.226021352285972,0.14893192677415,0.381007422424925
10773,030101011305,2009,Altavista Power Station,Campbell,VA,Staunton River,Recirculating Tower,tower,coal,ST,129685,0.214828969473324,0.176159754968126,0.253498183978522,0.300760557262653,0.198179724339141,0.506996367957044
10774,030102011206,2009,Southampton Power Station,Southampton,VA,Wells,Recirculating Tower,tower,coal,ST,117082,0.318288178588572,0.260996306442629,0.375580050734515,0.445603450024001,0.293620844747958,0.75116010146903
50658,020700100803,2009,Covanta Fairfax Energy,Fairfax,VA,Municipal,Recirculating Tower,tower,biomass,ST,594277,1.46585250570179,1.20199905467547,1.72970595672811,2.05219350798251,1.3522489365099,3.45941191345623
50900,020802010503,2009,Covington Facility,Covington,VA,Jackson River,Recirculating Tower,tower,multi-fuel,ST,631399.064,0,0,0,0,0,0
50966,020802060101,2009,Bellmeade Power Station,Richmond,VA,Municipal,Recirculating Tower,tower,gas,NGCC,430816,0.368593433795929,0.302246615712661,0.434940251879196,0.5160308073143,0.340027442676744,0.869880503758391
52007,030101020903,2009,Mecklenburg Power Station,Mecklenburg,VA,John H Kerr Reservoir,Recirculating Tower,tower,coal,ST,395611,0.58761815851374,0.481846889981267,0.693389427046213,0.822665421919236,0.542077751228925,1.38677885409243
52118,030101011305,2009,Multitrade of Pittsylvania LP,Pittsylvania,VA,Roanoke River,Recirculating Tower,tower,biomass,ST,429653,0.843242046762205,0.691458478345008,0.995025615179402,1.18053886546709,0.777890788138134,1.9900512303588
54081,020802060101,2009,Spruance Genco LLC,City of Richmond,VA,James River,Recirculating Tower,tower,coal,ST,980625,0.724297953677635,0.593924322015661,0.85467158533961,1.01401713514869,0.668164862267619,1.70934317067922
54304,020801040201,2009,Birchwood Power,King George,VA,Rappahannock River,Recirculating Tower,tower,coal,ST,493807,0.485363263679635,0.3979978762173,0.572728651141969,0.679508569151489,0.447747610744463,1.14545730228394
55439,020802040502,2009,Tenaska Virginia Generating Station,Fluvanna,VA,James River,Recirculating Tower,tower,gas,NGCC,2065939,1.09481768344805,0.8977505004274,1.2918848664687,1.53274475682727,1.00996931298082,2.58376973293739
3775,060102050403,2010,Clinch River,Russell,VA,Clinch River,Recirculating Tower,tower,coal,ST,1500924.921,1.94224298688419,1.59263924924503,2.29184672452334,2.71914018163786,1.79171915540066,4.58369344904668
3776,050500020602,2010,Glen Lyn,Giles,VA,New River,Once-through fresh,river,coal,ST,213144,0.195695721418567,0.152642662706482,0.238748780130652,19.5356559327668,8.89068356648926,145.897127174384
3788,020700100301,2010,Potomac River,Alexandria,VA,Potomac River,Once-through fresh,river,coal,ST,841208,0.772825158466308,0.60280362360372,0.942846693328896,89.8811164294255,40.7689343416815,678.974847295719
3796,020802031502,2010,Bremo Bluff,Fluvanna,VA,James River,Once-through fresh,river,coal,ST,984459,0.714262985364053,0.557125128583961,0.871400842144144,88.1249208599078,39.9330143960639,667.990725512807
3797,020802060106,2010,Chesterfield,Chesterfield,VA,James River,Once-through fresh,river,multi-fuel,multiple,17649356,4.96226981103775,3.87057045260945,6.05396916946606,616.475750093414,279.3091075451,4675.43820409111
3803,020802080203,2010,Chesapeake,Chesapeake,VA,S Branch Elizabeth River,Once-through saline,OS,coal,ST,3347354,0,0,0,276.033740072574,125.210270164187,2084.83153032477
3804,020700110106,2010,Possum Point,Prince William,VA,Potomac River,Complex,complex,multi-fuel,complex,7340877,2.27075439663902,1.86201860524399,2.67949018803404,33.1487339009678,15.6819574860683,232.128658634431
3806,020802060704,2010,Surry,Surry,VA,James River,Once-through saline,OS,nuclear,ST,13172437,0,0,0,1375.47083628027,624.461581000142,10357.9019034737
3809,020801070204,2010,Yorktown,York,VA,York River,Once-through saline,OS,coal,ST,1873368,0,0,0,157.656872962178,71.548878775502,1188.70660883214
6168,020801060602,2010,North Anna,Louisa,VA,North Anna River,Once-through fresh,lake,nuclear,ST,13399462,27.0253138293231,21.079744786872,32.9708828717742,1393.36393419867,632.300483930297,10508.4362868361
7213,030101020601,2010,Clover,Halifax,VA,Roanoke River,Recirculating Tower,tower,coal,ST,6193652,7.28958840795971,5.97746249452696,8.60171432139246,10.2054237711436,6.72464530634283,17.2034286427849
10071,020802080206,2010,Portsmouth Genco LLC,PORTSMOUTH CITY,VA,Wells,Recirculating Tower,tower,coal,ST,338844,0.74251813987065,0.608864874693932,0.876171405047366,1.03952539581891,0.684972984030674,1.75234281009473
10377,020802060201,2010,James River Genco LLC,HOPEWELL CITY,VA,Municipal,Recirculating Tower,tower,coal,ST,261371,0.145361937388328,0.119196788658429,0.171527086118227,0.203506712343659,0.134096387240732,0.343054172236453
10633,020802060201,2010,Hopewell Cogeneration,Prince George,VA,Municipality,Recirculating Tower,tower,gas,NGCC,1140185,0.743770278386337,0.609891628276796,0.877648928495878,1.04127838974087,0.686128081811396,1.75529785699176
10771,020802060201,2010,Hopewell Power Station,Hopewell City,VA,municipality,Recirculating Tower,tower,coal,ST,168628,0.262527706689938,0.215272719485749,0.309782693894126,0.367538789365913,0.242181809421467,0.619565387788253
10773,030101011305,2010,Altavista Power Station,Campbell,VA,Staunton River,Recirculating Tower,tower,coal,ST,161610,0.277610613526883,0.227640703092044,0.327580523961722,0.388654858937636,0.25609579097855,0.655161047923444
10774,030102011206,2010,Southampton Power Station,Southampton,VA,Wells,Recirculating Tower,tower,coal,ST,175117,0.376063168007877,0.308371797766459,0.443754538249295,0.526488435211028,0.346918272487266,0.887509076498589
50658,020700100803,2010,Covanta Fairfax Energy,Fairfax,VA,Municipal,Recirculating Tower,tower,biomass,ST,560909,1.45354217246824,1.19190458142396,1.71517976351253,2.03495904145554,1.34089265410195,3.43035952702505
50966,020802060101,2010,Bellmeade Power Station,Richmond,VA,Municipal,Recirculating Tower,tower,gas,NGCC,716336,0.670476605769784,0.549790816731222,0.791162394808345,0.938667248077697,0.618514668822625,1.58232478961669
52007,030101020903,2010,Mecklenburg Power Station,Mecklenburg,VA,John H Kerr Reservoir,Recirculating Tower,tower,coal,ST,486418,0.744351229288134,0.61036800801627,0.878334450559998,1.04209172100339,0.686664009018304,1.75666890112
52118,030101011305,2010,Multitrade of Pittsylvania LP,Pittsylvania,VA,Roanoke River,Recirculating Tower,tower,biomass,ST,413120,0.81307352705091,0.666720292181746,0.959426761920074,1.13830293787127,0.750060328704465,1.91885352384015
54081,020802060101,2010,Spruance Genco LLC,City of Richmond,VA,James River,Recirculating Tower,tower,coal,ST,1143032,0.899478700750143,0.737572534615117,1.06138486688517,1.2592701810502,0.829769101442007,2.12276973377034
54304,020801040201,2010,Birchwood Power,King George,VA,Rappahannock River,Recirculating Tower,tower,coal,ST,821681,1.01151997794584,0.829446381915589,1.19359357397609,1.41612796912418,0.933127179655038,2.38718714795218
55439,020802040502,2010,Tenaska Virginia Generating Station,Fluvanna,VA,James River,Recirculating Tower,tower,gas,NGCC,3579646,1.85544731385284,1.52146679735933,2.18942783034635,2.59762623939398,1.71165014702925,4.3788556606927
